7846017,2010-04-04 14:33:00,208,2426,$73.00,Swipe Transaction,43293,Bothell,WA,98021.0,5499,
7846019,2010-04-04 14:33:00,1393,3018,$38.47,Swipe Transaction,34490,Marrero,LA,70072.0,5719,
7846020,2010-04-04 14:33:00,1443,4730,$-67.00,Swipe Transaction,61195,Waianae,HI,96792.0,5541,
7846021,2010-04-04 14:34:00,343,1091,$-81.00,Swipe Transaction,61195,Manteca,CA,95337.0,5541,
7846022,2010-04-04 14:34:00,585,5881,$21.03,Online Transaction,16798,ONLINE,,,4121,
7846023,2010-04-04 14:34:00,1521,1066,$48.57,Swipe Transaction,59935,Weatherford,TX,76086.0,5499,
7846024,2010-04-04 14:35:00,1151,2983,$5.66,Swipe Transaction,61195,Princeton,NJ,8540.0,5541,
7846025,2010-04-04 14:35:00,1475,5155,$13.59,Swipe Transaction,22204,Ewa Beach,HI,96706.0,5541,
7846026,2010-04-04 14:35:00,1594,3241,$26.58,Swipe Transaction,60569,Vero Beach,FL,32962.0,5300,
7846027,2010-04-04 14:35:00,1852,28,$66.50,Swipe Transaction,19751,Chandler,AZ,85226.0,5300,
7846028,2010-04-04 14:36:00,114,3398,$-77.00,Swipe Transaction,59935,North Hollywood,CA,91606.0,5499,
7846029,2010-04-04 14:37:00,432,2645,$94.91,Swipe Transaction,75781,Newton,NC,28658.0,5411,
7846030,2010-04-04 14:37:00,1370,4957,$241.08,Swipe Transaction,6082,Elk Grove,CA,95624.0,6300,
7846031,2010-04-04 14:38:00,40,2011,$6.70,Swipe Transaction,75781,Rockford,IL,61102.0,5411,
7846032,2010-04-04 14:38:00,114,3398,$35.76,Swipe Transaction,59935,North Hollywood,CA,91606.0,5499,
7846033,2010-04-04 14:38:00,141,2952,$-94.00,Swipe Transaction,43293,Madisonville,TX,77864.0,5499,
7846034,2010-04-04 14:38:00,1150,4672,$90.97,Swipe Transaction,39057,Hurst,TX,76054.0,6300,
7846035,2010-04-04 14:38:00,1360,2184,$4.98,Swipe Transaction,88413,Crestview,FL,32536.0,5300,
7846036,2010-04-04 14:38:00,1540,3763,$45.20,Online Transaction,39021,ONLINE,,,4784,
7846037,2010-04-04 14:38:00,1645,5878,$59.20,Online Transaction,9932,ONLINE,,,5311,
7846039,2010-04-04 14:38:00,1830,4083,$19.10,Swipe Transaction,28395,Leicester,NC,28748.0,5541,
7846040,2010-04-04 14:39:00,141,2952,$94.00,Swipe Transaction,43293,Madisonville,TX,77864.0,5499,
7846043,2010-04-04 14:39:00,1433,203,$17.68,Swipe Transaction,83480,Mobile,AL,36695.0,9402,
7846044,2010-04-04 14:39:00,1723,4099,$106.31,Swipe Transaction,50783,White Hall,IL,62092.0,5411,
7846045,2010-04-04 14:40:00,27,2631,$16.32,Online Transaction,9932,ONLINE,,,5311,
7846046,2010-04-04 14:40:00,668,5778,$1.62,Swipe Transaction,86438,Birmingham,AL,35211.0,5499,
7846047,2010-04-04 14:40:00,1103,2895,$37.54,Swipe Transaction,18215,Draper,UT,84020.0,5719,
7846048,2010-04-04 14:40:00,1549,3264,$20.86,Swipe Transaction,18215,Houston,TX,77099.0,5719,
